Customer ID,Monetary,Frequency,Recency,R_Score,F_Score,M_Score,RFM_Score,Segment
49,55,1,38.0,2,1,3,213,Hibernating
50,30,1,34.0,2,1,1,211,Lost
51,28,1,39.0,2,1,1,211,Lost
52,59,1,7.0,5,1,3,513,Potential Loyalists
53,20,1,26.0,3,1,1,311,Lost
54,24,1,35.0,2,1,1,211,Lost
55,94,1,35.0,2,1,5,215,Hibernating
56,28,1,49.0,1,1,1,111,Lost
57,73,1,46.0,1,1,4,114,Hibernating
58,64,1,17.0,4,1,3,413,Potential Loyalists
59,54,1,29.0,3,1,3,313,Lost
60,79,1,4.0,5,1,4,514,Potential Loyalists
61,37,1,17.0,4,1,2,412,Potential Loyalists
62,68,1,21.0,3,1,3,313,Lost
63,21,1,31.0,2,1,1,211,Lost
64,79,1,43.0,1,1,4,114,Hibernating
65,83,1,18.0,4,1,4,414,Potential Loyalists
66,36,1,44.0,1,1,2,112,Lost
67,94,1,3.0,5,1,5,515,Potential Loyalists
68,33,1,49.0,1,1,1,111,Lost
69,46,1,21.0,3,1,2,312,Lost
70,70,1,5.0,5,1,4,514,Potential Loyalists
71,29,1,32.0,2,1,1,211,Lost
72,48,1,34.0,2,1,2,212,Lost
73,26,1,21.0,3,1,1,311,Lost
74,85,1,43.0,1,1,5,115,Hibernating
75,58,1,3.0,5,1,3,513,Potential Loyalists
76,85,1,21.0,3,1,5,315,Lost
77,43,1,32.0,2,1,2,212,Lost
78,53,1,36.0,2,1,3,213,Hibernating
79,91,1,50.0,1,1,5,115,Hibernating
80,96,1,43.0,1,1,5,115,Hibernating
81,72,1,24.0,3,1,4,314,Lost
82,96,1,36.0,2,1,5,215,Hibernating
83,28,1,21.0,3,1,1,311,Lost
84,40,1,34.0,2,1,2,212,Lost
85,32,1,42.0,1,1,1,111,Lost
86,95,1,2.0,5,1,5,515,Potential Loyalists
87,41,1,47.0,1,1,2,112,Lost
88,53,1,44.0,1,1,3,113,Hibernating
89,47,1,35.0,2,1,2,212,Lost
90,83,1,15.0,4,1,4,414,Potential Loyalists
91,48,1,29.0,3,1,2,312,Lost
92,99,1,18.0,4,1,5,415,Potential Loyalists
93,87,1,13.0,4,1,5,415,Potential Loyalists
94,62,1,46.0,1,1,3,113,Hibernating
95,76,1,28.0,3,1,4,314,Lost
96,100,1,48.0,1,1,5,115,Hibernating
97,73,1,43.0,1,1,4,114,Hibernating
98,92,1,37.0,2,1,5,215,Hibernating
99,67,1,20.0,4,1,3,413,Potential Loyalists
100,40,1,33.0,2,1,2,212,Lost
101,98,1,31.0,2,1,5,215,Hibernating
102,85,1,50.0,1,1,5,115,Hibernating
103,67,1,35.0,2,1,3,213,Hibernating
104,89,1,22.0,3,1,5,315,Lost
105,24,1,1.0,5,1,1,511,Potential Loyalists
106,96,1,4.0,5,1,5,515,Potential Loyalists
107,35,1,31.0,2,1,1,211,Lost
108,67,1,46.0,1,1,3,113,Hibernating
109,79,1,32.0,2,1,4,214,Hibernating
110,85,1,43.0,1,1,5,115,Hibernating
111,26,1,26.0,3,1,1,311,Lost
112,75,1,9.0,5,1,4,514,Potential Loyalists
113,65,1,28.0,3,1,3,313,Lost
114,54,1,20.0,4,1,3,413,Potential Loyalists
115,95,1,9.0,5,1,5,515,Potential Loyalists
116,94,1,48.0,1,1,5,115,Hibernating
117,86,1,12.0,4,1,5,415,Potential Loyalists
118,32,1,29.0,3,1,1,311,Lost
119,45,1,27.0,3,1,2,312,Lost
120,76,1,44.0,1,1,4,114,Hibernating
121,84,1,32.0,2,1,4,214,Hibernating
122,72,1,11.0,4,1,4,414,Potential Loyalists
123,40,1,44.0,1,1,2,112,Lost
124,89,1,46.0,1,1,5,115,Hibernating
125,86,1,50.0,1,1,5,115,Hibernating
126,54,1,45.0,1,1,3,113,Hibernating
127,36,1,48.0,1,1,2,112,Lost
128,89,1,26.0,3,1,5,315,Lost
129,32,1,21.0,3,1,1,311,Lost
130,67,1,49.0,1,1,3,113,Hibernating
131,39,1,13.0,4,1,2,412,Potential Loyalists
132,29,1,46.0,1,1,1,111,Lost
133,58,1,42.0,1,1,3,113,Hibernating
134,65,1,25.0,3,1,3,313,Lost
135,94,1,25.0,3,1,5,315,Lost
136,81,1,12.0,4,1,4,414,Potential Loyalists
137,86,1,4.0,5,1,5,515,Potential Loyalists
138,43,1,38.0,2,1,2,212,Lost
139,29,1,42.0,1,1,1,111,Lost
140,95,1,30.0,3,1,5,315,Lost
141,28,1,50.0,1,1,1,111,Lost
142,46,1,45.0,1,1,2,112,Lost
143,58,1,33.0,2,1,3,213,Hibernating
144,48,1,25.0,3,1,2,312,Lost
145,43,1,25.0,3,1,2,312,Lost
146,95,1,44.0,1,1,5,115,Hibernating
147,30,1,21.0,3,1,1,311,Lost
148,64,1,31.0,2,1,3,213,Hibernating
149,90,1,47.0,1,1,5,115,Hibernating
150,76,1,14.0,4,1,4,414,Potential Loyalists
151,96,1,17.0,4,1,5,415,Potential Loyalists
152,47,1,3.0,5,1,2,512,Potential Loyalists
153,85,1,42.0,1,1,5,115,Hibernating
154,55,1,22.0,3,1,3,313,Lost
155,98,1,21.0,3,1,5,315,Lost
156,77,1,21.0,3,1,4,314,Lost
157,26,1,40.0,2,1,1,211,Lost
158,68,1,1.0,5,1,3,513,Potential Loyalists
159,73,1,50.0,1,1,4,114,Hibernating
160,27,1,39.0,2,1,1,211,Lost
161,23,1,34.0,2,1,1,211,Lost
162,49,1,29.0,3,1,2,312,Lost
163,74,1,31.0,2,1,4,214,Hibernating
164,67,1,8.0,5,1,3,513,Potential Loyalists
165,65,1,5.0,5,1,3,513,Potential Loyalists
166,60,1,7.0,5,1,3,513,Potential Loyalists
167,31,1,30.0,3,1,1,311,Lost
168,27,1,14.0,4,1,1,411,Potential Loyalists
169,80,1,5.0,5,1,4,514,Potential Loyalists
170,30,1,3.0,5,1,1,511,Potential Loyalists
171,25,1,46.0,1,1,1,111,Lost
172,35,1,4.0,5,1,1,511,Potential Loyalists
173,67,1,42.0,1,1,3,113,Hibernating
174,46,1,30.0,3,1,2,312,Lost
175,35,1,37.0,2,1,1,211,Lost
176,86,1,2.0,5,1,5,515,Potential Loyalists
177,81,1,30.0,3,1,4,314,Lost
178,42,1,47.0,1,1,2,112,Lost
179,43,1,21.0,3,1,2,312,Lost
180,31,1,9.0,5,1,1,511,Potential Loyalists
181,81,1,12.0,4,1,4,414,Potential Loyalists
182,61,1,4.0,5,1,3,513,Potential Loyalists
183,96,1,10.0,5,1,5,515,Potential Loyalists
184,29,1,26.0,3,1,1,311,Lost
185,33,1,40.0,2,1,1,211,Lost
186,32,1,34.0,2,1,1,211,Lost
187,56,1,31.0,2,1,3,213,Hibernating
188,94,1,1.0,5,1,5,515,Potential Loyalists
189,53,1,5.0,5,1,3,513,Potential Loyalists
190,82,1,4.0,5,1,4,514,Potential Loyalists
191,70,1,48.0,1,1,4,114,Hibernating
192,76,1,29.0,3,1,4,314,Lost
193,29,1,12.0,4,1,1,411,Potential Loyalists
194,100,1,29.0,3,1,5,315,Lost
195,94,1,15.0,4,1,5,415,Potential Loyalists
196,25,1,34.0,2,1,1,211,Lost
197,88,1,41.0,1,1,5,115,Hibernating
198,78,1,41.0,1,1,4,114,Hibernating
199,45,1,39.0,2,1,2,212,Lost
200,73,1,32.0,2,1,4,214,Hibernating
201,61,1,29.0,3,1,3,313,Lost
202,22,1,15.0,4,1,1,411,Potential Loyalists
203,38,1,33.0,2,1,2,212,Lost
204,38,1,18.0,4,1,2,412,Potential Loyalists
205,100,1,35.0,2,1,5,215,Hibernating
206,64,1,25.0,3,1,3,313,Lost
207,55,1,6.0,5,1,3,513,Potential Loyalists
208,91,1,17.0,4,1,5,415,Potential Loyalists
209,38,1,17.0,4,1,2,412,Potential Loyalists
210,97,1,44.0,1,1,5,115,Hibernating
211,22,1,6.0,5,1,1,511,Potential Loyalists
212,92,1,45.0,1,1,5,115,Hibernating
213,84,1,7.0,5,1,4,514,Potential Loyalists
214,93,1,11.0,4,1,5,415,Potential Loyalists
215,50,1,41.0,1,1,2,112,Lost
216,64,1,24.0,3,1,3,313,Lost
217,61,1,21.0,3,1,3,313,Lost
218,48,1,24.0,3,1,2,312,Lost
219,45,1,8.0,5,1,2,512,Potential Loyalists
220,88,1,12.0,4,1,5,415,Potential Loyalists
221,57,1,48.0,1,1,3,113,Hibernating
222,68,1,6.0,5,1,3,513,Potential Loyalists
223,94,1,14.0,4,1,5,415,Potential Loyalists
224,41,1,34.0,2,1,2,212,Lost
225,83,1,12.0,4,1,4,414,Potential Loyalists
226,22,1,11.0,4,1,1,411,Potential Loyalists
227,74,1,5.0,5,1,4,514,Potential Loyalists
228,90,1,25.0,3,1,5,315,Lost
229,79,1,11.0,4,1,4,414,Potential Loyalists
230,28,1,27.0,3,1,1,311,Lost
231,88,1,43.0,1,1,5,115,Hibernating
232,26,1,18.0,4,1,1,411,Potential Loyalists
233,27,1,32.0,2,1,1,211,Lost
234,83,1,27.0,3,1,4,314,Lost
235,39,1,24.0,3,1,2,312,Lost
236,89,1,31.0,2,1,5,215,Hibernating
237,68,1,39.0,2,1,3,213,Hibernating
238,90,1,36.0,2,1,5,215,Hibernating
239,34,1,5.0,5,1,1,511,Potential Loyalists
240,51,1,47.0,1,1,2,112,Lost
241,45,1,29.0,3,1,2,312,Lost
242,88,1,43.0,1,1,5,115,Hibernating
243,85,1,40.0,2,1,5,215,Hibernating
244,100,1,4.0,5,1,5,515,Potential Loyalists
245,42,1,39.0,2,1,2,212,Lost
246,53,1,45.0,1,1,3,113,Hibernating
247,86,1,20.0,4,1,5,415,Potential Loyalists
248,66,1,14.0,4,1,3,413,Potential Loyalists
249,100,1,33.0,2,1,5,215,Hibernating
250,47,1,18.0,4,1,2,412,Potential Loyalists
251,25,1,9.0,5,1,1,511,Potential Loyalists
252,51,1,34.0,2,1,2,212,Lost
253,41,1,33.0,2,1,2,212,Lost
254,73,1,15.0,4,1,4,414,Potential Loyalists
255,42,1,4.0,5,1,2,512,Potential Loyalists
256,20,1,25.0,3,1,1,311,Lost
257,30,1,20.0,4,1,1,411,Potential Loyalists
258,53,1,5.0,5,1,3,513,Potential Loyalists
259,74,1,16.0,4,1,4,414,Potential Loyalists
260,57,1,13.0,4,1,3,413,Potential Loyalists
261,57,1,11.0,4,1,3,413,Potential Loyalists
262,77,1,21.0,3,1,4,314,Lost
263,40,1,6.0,5,1,2,512,Potential Loyalists
264,46,1,29.0,3,1,2,312,Lost
265,78,1,15.0,4,1,4,414,Potential Loyalists
266,59,1,17.0,4,1,3,413,Potential Loyalists
267,75,1,32.0,2,1,4,214,Hibernating
268,54,1,42.0,1,1,3,113,Hibernating
269,42,1,21.0,3,1,2,312,Lost
270,44,1,9.0,5,1,2,512,Potential Loyalists
271,52,1,16.0,4,1,3,413,Potential Loyalists
272,69,1,42.0,1,1,4,114,Hibernating
273,26,1,37.0,2,1,1,211,Lost
274,33,1,32.0,2,1,1,211,Lost
275,32,1,28.0,3,1,1,311,Lost
276,85,1,13.0,4,1,5,415,Potential Loyalists
277,30,1,11.0,4,1,1,411,Potential Loyalists
278,29,1,36.0,2,1,1,211,Lost
279,95,1,23.0,3,1,5,315,Lost
280,69,1,37.0,2,1,4,214,Hibernating
281,69,1,21.0,3,1,4,314,Lost
282,61,1,22.0,3,1,3,313,Lost
283,94,1,9.0,5,1,5,515,Potential Loyalists
284,30,1,16.0,4,1,1,411,Potential Loyalists
285,45,1,4.0,5,1,2,512,Potential Loyalists
286,39,1,3.0,5,1,2,512,Potential Loyalists
287,51,1,6.0,5,1,2,512,Potential Loyalists
288,37,1,18.0,4,1,2,412,Potential Loyalists
289,62,1,34.0,2,1,3,213,Hibernating
290,85,1,26.0,3,1,5,315,Lost
291,33,1,50.0,1,1,1,111,Lost
292,26,1,40.0,2,1,1,211,Lost
293,99,1,24.0,3,1,5,315,Lost
294,39,1,33.0,2,1,2,212,Lost
295,20,1,19.0,4,1,1,411,Potential Loyalists
296,42,1,24.0,3,1,2,312,Lost
297,74,1,19.0,4,1,4,414,Potential Loyalists
298,26,1,4.0,5,1,1,511,Potential Loyalists
299,53,1,11.0,4,1,3,413,Potential Loyalists
300,80,1,28.0,3,1,4,314,Lost
301,98,1,24.0,3,1,5,315,Lost
302,95,1,25.0,3,1,5,315,Lost
303,44,1,27.0,3,1,2,312,Lost
304,60,1,49.0,1,1,3,113,Hibernating
305,84,1,45.0,1,1,4,114,Hibernating
306,59,1,26.0,3,1,3,313,Lost
307,49,1,4.0,5,1,2,512,Potential Loyalists
308,32,1,3.0,5,1,1,511,Potential Loyalists
309,29,1,45.0,1,1,1,111,Lost
310,22,1,21.0,3,1,1,311,Lost
311,85,1,50.0,1,1,5,115,Hibernating
312,52,1,19.0,4,1,3,413,Potential Loyalists
313,89,1,6.0,5,1,5,515,Potential Loyalists
314,77,1,50.0,1,1,4,114,Hibernating
315,24,1,17.0,4,1,1,411,Potential Loyalists
316,24,1,24.0,3,1,1,311,Lost
317,22,1,46.0,1,1,1,111,Lost
318,82,1,42.0,1,1,4,114,Hibernating
319,67,1,10.0,5,1,3,513,Potential Loyalists
320,74,1,1.0,5,1,4,514,Potential Loyalists
321,72,1,28.0,3,1,4,314,Lost
322,36,1,48.0,1,1,2,112,Lost
323,95,1,47.0,1,1,5,115,Hibernating
324,78,1,29.0,3,1,4,314,Lost
325,82,1,37.0,2,1,4,214,Hibernating
326,70,1,38.0,2,1,4,214,Hibernating
327,41,1,48.0,1,1,2,112,Lost
328,42,1,36.0,2,1,2,212,Lost
329,50,1,9.0,5,1,2,512,Potential Loyalists
330,31,1,34.0,2,1,1,211,Lost
331,51,1,43.0,1,1,2,112,Lost
332,98,1,46.0,1,1,5,115,Hibernating
333,86,1,5.0,5,1,5,515,Potential Loyalists
334,64,1,15.0,4,1,3,413,Potential Loyalists
335,46,1,30.0,3,1,2,312,Lost
336,85,1,44.0,1,1,5,115,Hibernating
337,81,1,16.0,4,1,4,414,Potential Loyalists
338,59,1,16.0,4,1,3,413,Potential Loyalists
339,79,1,16.0,4,1,4,414,Potential Loyalists
340,33,1,21.0,3,1,1,311,Lost
341,47,1,39.0,2,1,2,212,Lost
342,20,1,40.0,2,1,1,211,Lost
343,36,1,48.0,1,1,2,112,Lost
344,39,1,26.0,3,1,2,312,Lost
345,71,1,46.0,1,1,4,114,Hibernating
346,59,1,27.0,3,1,3,313,Lost
347,50,1,5.0,5,1,2,512,Potential Loyalists
348,41,1,43.0,1,1,2,112,Lost
349,59,1,17.0,4,1,3,413,Potential Loyalists
350,87,1,3.0,5,1,5,515,Potential Loyalists
351,68,1,47.0,1,1,3,113,Hibernating
352,90,1,24.0,3,1,5,315,Lost
353,71,1,12.0,4,1,4,414,Potential Loyalists
354,64,1,35.0,2,1,3,213,Hibernating
355,76,1,42.0,1,1,4,114,Hibernating
356,42,1,1.0,5,1,2,512,Potential Loyalists
357,80,1,27.0,3,1,4,314,Lost
358,56,1,16.0,4,1,3,413,Potential Loyalists
359,25,1,36.0,2,1,1,211,Lost
360,74,1,30.0,3,1,4,314,Lost
361,30,1,18.0,4,1,1,411,Potential Loyalists
362,96,1,45.0,1,1,5,115,Hibernating
363,64,1,1.0,5,1,3,513,Potential Loyalists
364,88,1,42.0,1,1,5,115,Hibernating
365,88,1,7.0,5,1,5,515,Potential Loyalists
366,88,1,50.0,1,1,5,115,Hibernating
367,36,1,37.0,2,1,2,212,Lost
368,40,1,18.0,4,1,2,412,Potential Loyalists
369,39,1,29.0,3,1,2,312,Lost
370,40,1,45.0,1,1,2,112,Lost
371,34,1,13.0,4,1,1,411,Potential Loyalists
372,83,1,47.0,1,1,4,114,Hibernating
373,85,1,7.0,5,1,5,515,Potential Loyalists
374,27,1,11.0,4,1,1,411,Potential Loyalists
375,78,1,39.0,2,1,4,214,Hibernating
376,32,1,6.0,5,1,1,511,Potential Loyalists
377,51,1,2.0,5,1,2,512,Potential Loyalists
378,32,1,39.0,2,1,1,211,Lost
379,62,1,23.0,3,1,3,313,Lost
380,29,1,46.0,1,1,1,111,Lost
381,69,1,19.0,4,1,4,414,Potential Loyalists
382,25,1,3.0,5,1,1,511,Potential Loyalists
383,76,1,47.0,1,1,4,114,Hibernating
384,77,1,6.0,5,1,4,514,Potential Loyalists
385,33,1,6.0,5,1,1,511,Potential Loyalists
386,93,1,12.0,4,1,5,415,Potential Loyalists
387,39,1,40.0,2,1,2,212,Lost
388,93,1,38.0,2,1,5,215,Hibernating
389,82,1,10.0,5,1,4,514,Potential Loyalists
390,42,1,28.0,3,1,2,312,Lost
391,71,1,19.0,4,1,4,414,Potential Loyalists
392,86,1,25.0,3,1,5,315,Lost
393,82,1,38.0,2,1,4,214,Hibernating
394,65,1,6.0,5,1,3,513,Potential Loyalists
395,29,1,7.0,5,1,1,511,Potential Loyalists
396,65,1,2.0,5,1,3,513,Potential Loyalists
397,88,1,24.0,3,1,5,315,Lost
398,46,1,26.0,3,1,2,312,Lost
399,67,1,25.0,3,1,3,313,Lost
400,35,1,10.0,5,1,1,511,Potential Loyalists
401,66,1,14.0,4,1,3,413,Potential Loyalists
402,91,1,21.0,3,1,5,315,Lost
403,78,1,26.0,3,1,4,314,Lost
404,45,1,12.0,4,1,2,412,Potential Loyalists
405,93,1,11.0,4,1,5,415,Potential Loyalists
406,74,1,15.0,4,1,4,414,Potential Loyalists
407,55,1,13.0,4,1,3,413,Potential Loyalists
408,76,1,5.0,5,1,4,514,Potential Loyalists
409,66,1,36.0,2,1,3,213,Hibernating
410,51,1,32.0,2,1,2,212,Lost
411,26,1,1.0,5,1,1,511,Potential Loyalists
412,29,1,15.0,4,1,1,411,Potential Loyalists
413,74,1,3.0,5,1,4,514,Potential Loyalists
414,99,1,48.0,1,1,5,115,Hibernating
415,88,1,30.0,3,1,5,315,Lost
416,31,1,40.0,2,1,1,211,Lost
417,55,1,24.0,3,1,3,313,Lost
418,81,1,48.0,1,1,4,114,Hibernating
419,73,1,27.0,3,1,4,314,Lost
420,91,1,14.0,4,1,5,415,Potential Loyalists
421,54,1,18.0,4,1,3,413,Potential Loyalists
422,40,1,48.0,1,1,2,112,Lost
423,59,1,32.0,2,1,3,213,Hibernating
424,26,1,21.0,3,1,1,311,Lost
425,23,1,42.0,1,1,1,111,Lost
426,87,1,4.0,5,1,5,515,Potential Loyalists
427,71,1,19.0,4,1,4,414,Potential Loyalists
428,91,1,6.0,5,1,5,515,Potential Loyalists
429,64,1,2.0,5,1,3,513,Potential Loyalists
430,94,1,21.0,3,1,5,315,Lost
431,40,1,40.0,2,1,2,212,Lost
432,76,1,33.0,2,1,4,214,Hibernating
433,86,1,26.0,3,1,5,315,Lost
434,92,1,23.0,3,1,5,315,Lost
435,52,1,39.0,2,1,3,213,Hibernating
436,28,1,42.0,1,1,1,111,Lost
437,46,1,41.0,1,1,2,112,Lost
438,50,1,41.0,1,1,2,112,Lost
439,23,1,12.0,4,1,1,411,Potential Loyalists
440,50,1,31.0,2,1,2,212,Lost
441,89,1,34.0,2,1,5,215,Hibernating
442,81,1,32.0,2,1,4,214,Hibernating
443,69,1,31.0,2,1,4,214,Hibernating
444,67,1,24.0,3,1,3,313,Lost
445,20,1,31.0,2,1,1,211,Lost
446,29,1,18.0,4,1,1,411,Potential Loyalists
447,74,1,15.0,4,1,4,414,Potential Loyalists
448,82,1,7.0,5,1,4,514,Potential Loyalists
449,23,1,35.0,2,1,1,211,Lost
450,45,1,35.0,2,1,2,212,Lost
451,21,1,19.0,4,1,1,411,Potential Loyalists
452,31,1,26.0,3,1,1,311,Lost
453,45,1,39.0,2,1,2,212,Lost
454,56,1,22.0,3,1,3,313,Lost
455,97,1,14.0,4,1,5,415,Potential Loyalists
456,100,1,50.0,1,1,5,115,Hibernating
457,96,1,33.0,2,1,5,215,Hibernating
458,99,1,48.0,1,1,5,115,Hibernating
459,91,1,48.0,1,1,5,115,Hibernating
460,30,1,27.0,3,1,1,311,Lost
461,65,1,27.0,3,1,3,313,Lost
462,93,1,20.0,4,1,5,415,Potential Loyalists
463,81,1,48.0,1,1,4,114,Hibernating
464,81,1,29.0,3,1,4,314,Lost
465,52,1,45.0,1,1,3,113,Hibernating
466,88,1,25.0,3,1,5,315,Lost
467,24,1,25.0,3,1,1,311,Lost
468,51,1,37.0,2,1,2,212,Lost
469,38,1,16.0,4,1,2,412,Potential Loyalists
470,46,1,30.0,3,1,2,312,Lost
471,63,1,6.0,5,1,3,513,Potential Loyalists
472,72,1,36.0,2,1,4,214,Hibernating
473,39,1,3.0,5,1,2,512,Potential Loyalists
474,42,1,29.0,3,1,2,312,Lost
475,76,1,15.0,4,1,4,414,Potential Loyalists
476,66,1,18.0,4,1,3,413,Potential Loyalists
477,90,1,2.0,5,1,5,515,Potential Loyalists
478,56,1,49.0,1,1,3,113,Hibernating
479,43,1,48.0,1,1,2,112,Lost
480,84,1,43.0,1,1,4,114,Hibernating
481,88,1,30.0,3,1,5,315,Lost
482,88,1,10.0,5,1,5,515,Potential Loyalists
483,42,1,11.0,4,1,2,412,Potential Loyalists
484,73,1,12.0,4,1,4,414,Potential Loyalists
485,73,1,28.0,3,1,4,314,Lost
486,44,1,36.0,2,1,2,212,Lost
487,63,1,37.0,2,1,3,213,Hibernating
488,68,1,22.0,3,1,3,313,Lost
489,29,1,32.0,2,1,1,211,Lost
490,85,1,40.0,2,1,5,215,Hibernating
491,42,1,47.0,1,1,2,112,Lost
492,69,1,24.0,3,1,4,314,Lost
493,62,1,11.0,4,1,3,413,Potential Loyalists
494,48,1,19.0,4,1,2,412,Potential Loyalists
495,68,1,42.0,1,1,3,113,Hibernating
496,36,1,6.0,5,1,2,512,Potential Loyalists
497,63,1,31.0,2,1,3,213,Hibernating
498,39,1,31.0,2,1,2,212,Lost
499,78,1,27.0,3,1,4,314,Lost
500,99,1,24.0,3,1,5,315,Lost
501,31,1,35.0,2,1,1,211,Lost
502,45,1,21.0,3,1,2,312,Lost
503,30,1,8.0,5,1,1,511,Potential Loyalists
504,24,1,26.0,3,1,1,311,Lost
505,22,1,26.0,3,1,1,311,Lost
506,63,1,9.0,5,1,3,513,Potential Loyalists
507,40,1,48.0,1,1,2,112,Lost
508,20,1,33.0,2,1,1,211,Lost
509,20,1,31.0,2,1,1,211,Lost
510,80,1,17.0,4,1,4,414,Potential Loyalists
511,87,1,22.0,3,1,5,315,Lost
512,46,1,8.0,5,1,2,512,Potential Loyalists
513,49,1,2.0,5,1,2,512,Potential Loyalists
514,65,1,45.0,1,1,3,113,Hibernating
515,62,1,47.0,1,1,3,113,Hibernating
516,67,1,7.0,5,1,3,513,Potential Loyalists
517,41,1,19.0,4,1,2,412,Potential Loyalists
518,49,1,44.0,1,1,2,112,Lost
519,100,1,16.0,4,1,5,415,Potential Loyalists
520,54,1,17.0,4,1,3,413,Potential Loyalists
521,84,1,20.0,4,1,4,414,Potential Loyalists
522,41,1,50.0,1,1,2,112,Lost
523,88,1,37.0,2,1,5,215,Hibernating
524,40,1,5.0,5,1,2,512,Potential Loyalists
525,39,1,44.0,1,1,2,112,Lost
526,37,1,41.0,1,1,2,112,Lost
527,52,1,19.0,4,1,3,413,Potential Loyalists
528,23,1,47.0,1,1,1,111,Lost
529,88,1,40.0,2,1,5,215,Hibernating
530,84,1,6.0,5,1,4,514,Potential Loyalists
531,37,1,25.0,3,1,2,312,Lost
532,51,1,42.0,1,1,2,112,Lost
533,76,1,35.0,2,1,4,214,Hibernating
534,60,1,17.0,4,1,3,413,Potential Loyalists
535,72,1,4.0,5,1,4,514,Potential Loyalists
536,45,1,24.0,3,1,2,312,Lost
537,84,1,16.0,4,1,4,414,Potential Loyalists
538,49,1,14.0,4,1,2,412,Potential Loyalists
539,22,1,43.0,1,1,1,111,Lost
540,48,1,49.0,1,1,2,112,Lost
541,37,1,33.0,2,1,2,212,Lost
542,27,1,45.0,1,1,1,111,Lost
543,79,1,35.0,2,1,4,214,Hibernating
544,98,1,11.0,4,1,5,415,Potential Loyalists
545,64,1,30.0,3,1,3,313,Lost
546,32,1,48.0,1,1,1,111,Lost
547,74,1,45.0,1,1,4,114,Hibernating
548,50,1,26.0,3,1,2,312,Lost
549,64,1,41.0,1,1,3,113,Hibernating
550,29,1,37.0,2,1,1,211,Lost
551,62,1,12.0,4,1,3,413,Potential Loyalists
552,78,1,27.0,3,1,4,314,Lost
553,94,1,18.0,4,1,5,415,Potential Loyalists
554,59,1,15.0,4,1,3,413,Potential Loyalists
555,47,1,34.0,2,1,2,212,Lost
556,57,1,37.0,2,1,3,213,Hibernating
557,90,1,21.0,3,1,5,315,Lost
558,60,1,31.0,2,1,3,213,Hibernating
559,77,1,43.0,1,1,4,114,Hibernating
560,41,1,22.0,3,1,2,312,Lost
561,48,1,12.0,4,1,2,412,Potential Loyalists
562,65,1,25.0,3,1,3,313,Lost
563,62,1,40.0,2,1,3,213,Hibernating
564,99,1,16.0,4,1,5,415,Potential Loyalists
565,58,1,30.0,3,1,3,313,Lost
566,43,1,10.0,5,1,2,512,Potential Loyalists
567,93,1,1.0,5,1,5,515,Potential Loyalists
568,50,1,24.0,3,1,2,312,Lost
569,88,1,36.0,2,1,5,215,Hibernating
570,33,1,46.0,1,1,1,111,Lost
571,99,1,20.0,4,1,5,415,Potential Loyalists
572,76,1,37.0,2,1,4,214,Hibernating
